id,full_name,abbreviation,nickname,city,state,year_founded,TEAM_NAME,TEAM_ID,GP,W,L,W_PCT,MIN,SEASON,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_PACE,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TM_TOV_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,E_DEF_RATING_RANK,E_NET_RATING_RANK,E_AST_RATIO_RANK,E_OREB_PCT_RANK,E_DREB_PCT_RANK,E_REB_PCT_RANK,E_TM_TOV_PCT_RANK,E_PACE_RANK
1610612751,brooklyn nets,bkn,nets,brooklyn,new york,1976,brooklyn nets,1610612751,82,45,37,0.549,3946.0,2022-23,113.0,110.9,2.1,100.7,18.9,0.196,0.737,0.473,0.137,1,9,9,9,29,10,10,10,6,29,28,29,15,20
1610612751,brooklyn nets,bkn,nets,brooklyn,new york,1976,brooklyn nets,1610612751,82,44,38,0.537,3951.0,2021-22,111.0,109.6,1.3,101.6,18.3,0.239,0.751,0.502,0.138,1,14,14,14,19,13,15,15,9,10,25,14,18,10
1610612752,new york knicks,nyk,knicks,new york,new york,1946,new york knicks,1610612752,70,42,28,0.6,3360.0,2023-24,113.2,110.7,2.5,98.1,17.5,0.295,0.765,0.529,0.135,22,9,8,9,29,15,9,10,29,1,10,1,20,30
1610612752,new york knicks,nyk,knicks,new york,new york,1946,new york knicks,1610612752,82,47,35,0.573,3991.0,2022-23,114.9,111.8,3.1,99.7,16.6,0.283,0.771,0.526,0.129,1,8,8,8,2,5,18,7,29,2,9,2,5,25
1610612752,new york knicks,nyk,knicks,new york,new york,1946,new york knicks,1610612752,82,37,45,0.451,3956.0,2021-22,108.0,107.6,0.4,98.4,16.4,0.251,0.788,0.514,0.134,1,19,19,19,13,22,9,17,29,6,1,6,12,26
1610612753,orlando magic,orl,magic,orlando,florida,1989,orlando magic,1610612753,71,42,29,0.592,3428.0,2023-24,110.9,108.6,2.3,99.5,18.1,0.258,0.782,0.518,0.149,2,9,10,10,10,22,2,11,24,6,2,5,27,24
1610612753,orlando magic,orl,magic,orlando,florida,1989,orlando magic,1610612753,82,34,48,0.415,3956.0,2022-23,109.0,111.5,-2.4,101.7,17.0,0.238,0.777,0.507,0.148,1,25,25,25,22,26,15,24,27,15,4,11,27,14
1610612753,orlando magic,orl,magic,orlando,florida,1989,orlando magic,1610612753,82,22,60,0.268,3956.0,2021-22,101.8,110.3,-8.5,101.5,17.4,0.198,0.772,0.484,0.142,1,29,29,29,13,30,19,28,20,30,12,26,24,11
1610612754,indiana pacers,ind,pacers,indiana,indiana,1976,indiana pacers,1610612754,72,40,32,0.556,3461.0,2023-24,117.4,115.7,1.6,104.5,20.9,0.236,0.742,0.488,0.125,1,14,14,14,2,2,25,14,1,19,26,25,7,2
1610612754,indiana pacers,ind,pacers,indiana,indiana,1976,indiana pacers,1610612754,82,35,47,0.427,3951.0,2022-23,111.0,115.4,-4.4,103.8,18.9,0.234,0.722,0.478,0.142,1,23,23,23,25,24,26,26,7,18,30,28,20,3
